grid_id,capacity_mw,fuel_type,year
1,,,
2,,,
3,,,
4,,,
5,,,
7,,,
9,,,
11,,,
12,1.5,oil,2021
12,1.5,oil,2022
12,1.5,oil,2023
12,1.1,oil,2024
14,13.7,oil,2021
14,7.2,hydro,2021
14,1.0,other,2021
14,13.7,oil,2022
14,7.2,hydro,2022
14,1.0,other,2022
14,15.2,oil,2023
14,7.2,hydro,2023
14,1.0,other,2023
14,12.2,oil,2024
14,7.2,hydro,2024
14,1.0,other,2024
15,5.3,oil,2021
15,5.3,oil,2022
15,7.8,oil,2023
15,7.8,oil,2024
23,12.3,oil,2021
23,9.5,hydro,2021
23,12.3,oil,2022
23,9.5,hydro,2022
23,14.8,oil,2023
23,9.5,hydro,2023
23,14.8,oil,2024
23,9.5,hydro,2024
26,1.6,oil,2021
26,1.6,oil,2022
26,1.6,oil,2023
26,1.6,oil,2024
32,14.1,oil,2021
32,8.0,hydro,2021
32,14.9,oil,2022
32,8.0,hydro,2022
32,14.9,oil,2023
32,8.0,hydro,2023
32,14.9,oil,2024
32,8.0,hydro,2024
34,12.6,oil,2021
34,12.6,oil,2022
34,15.8,oil,2023
34,15.8,oil,2024
35,1.5,oil,2021
35,1.5,oil,2022
35,1.5,oil,2023
35,1.5,oil,2024
36,,,
39,1.5,oil,2021
39,1.5,oil,2022
39,1.5,oil,2023
39,1.5,oil,2024
40,2.8,oil,2021
40,2.8,oil,2022
40,2.8,oil,2023
40,2.8,oil,2024
41,,,
43,2.1,oil,2021
43,2.1,oil,2022
43,2.1,oil,2023
43,2.1,oil,2024
45,7.4,oil,2021
45,7.4,oil,2022
45,7.4,oil,2023
45,6.9,oil,2024
46,1.9,oil,2021
46,2.4,oil,2022
46,2.4,oil,2023
46,2.4,oil,2024
47,,,
48,,,
49,,,
50,3.3,oil,2021
50,3.3,oil,2022
50,3.3,oil,2023
50,3.3,oil,2024
51,,,
52,1.1,oil,2021
52,1.1,oil,2022
52,1.1,oil,2023
52,1.1,oil,2024
54,,,
55,2.4,oil,2021
55,2.4,oil,2022
55,2.4,oil,2023
55,2.4,oil,2024
57,2.1,oil,2021
57,2.1,oil,2022
57,2.1,oil,2023
57,1.5,oil,2024
58,1.1,oil,2021
58,1.1,oil,2022
58,1.5,oil,2023
58,1.5,oil,2024
59,1.4,oil,2021
59,1.4,oil,2022
59,1.4,oil,2023
59,1.4,oil,2024
60,1.1,oil,2021
60,1.1,oil,2022
60,1.1,oil,2023
60,1.1,oil,2024
61,1.1,oil,2021
61,1.1,oil,2022
61,1.1,oil,2023
61,1.1,oil,2024
62,,,
63,,,
65,1.9,oil,2021
65,1.9,oil,2022
65,2.3,oil,2023
65,2.3,oil,2024
66,1.7,oil,2021
66,2.2,oil,2022
66,2.2,oil,2023
66,2.2,oil,2024
67,2.2,oil,2021
67,2.2,oil,2022
67,2.2,oil,2023
67,2.2,oil,2024
68,,,
69,,,
70,1.7,oil,2021
70,2.0,oil,2022
70,2.0,oil,2023
70,2.0,oil,2024
71,2.1,oil,2021
71,2.1,oil,2022
71,2.6,oil,2023
71,2.1,oil,2024
72,,,
75,15.4,oil,2021
75,10.9,oil,2022
75,10.9,oil,2023
75,10.9,oil,2024
76,2.2,oil,2021
76,2.2,oil,2022
76,2.2,oil,2023
76,2.2,oil,2024
77,1.3,oil,2021
77,1.3,oil,2022
77,1.3,oil,2023
77,1.3,oil,2024
78,5.1,oil,2021
78,5.1,oil,2022
78,5.1,oil,2023
78,5.1,oil,2024
79,,,
80,,,
81,2.3,oil,2021
81,2.3,oil,2022
81,2.3,oil,2023
